# GENERATED BY tools/i18n_inherited.mjs — DO NOT EDIT BY HAND.
#
# Source strings that frappe or erpnext already translates, in a sense that is
# correct for our surface too. We ship NO row for these: the runtime dictionary
# is one flat global map, so their translation already answers, and shipping our
# own would be a second copy that overrides theirs desk-wide.
#
# Regenerate with: npm run i18n:inherited      (read from bunood-backend-1, lang=ar)
# False friends are rejected in the script's REJECT map, with a reason each.
#
# 40 inherited, from frappe + erpnext + telephony.

Accepted	frappe: مقبول
Alert	frappe: إنذار
App	frappe: تطبيق
Auto	frappe: تلقائى
Batch Size	erpnext: حجم الدفعة
Breadcrumbs	frappe: مسار التصفح
Calendar Event	erpnext: حدث التقويم
Charts	frappe: الرسوم البيانية
Custom	frappe: مخصص
Document	frappe: وثيقة
Export	frappe: تصدير
Generated	erpnext: تم إنشاؤه
Inbox	frappe: صندوق الوارد
Keyboard Shortcuts	frappe: اختصارات لوحة المفاتيح
Language	frappe: اللغة
List	frappe: قائمة
Loading...	frappe: تحميل ...
Logo	erpnext: شعار
Manual	erpnext: يدوي
Menu	frappe: الخيارات
Missing	erpnext: مفتقد
None	frappe: لا شيء
Notifications	frappe: إخطارات
Off	frappe: إيقاف
Page	frappe: الصفحة
Provider	frappe: المزود
Reload	frappe: تحديث
Reset to defaults	frappe: إعادة تعيين إلى الإعدادات الافتراضية
Separator	frappe: فاصل
Session Defaults	frappe: الجلسة الافتراضية
Share	frappe: مشاركة
Shared	frappe: مشتركة
Sidebar	frappe: الشريط الجانبي
Source Text	frappe: النص المصدر
Style	frappe: النمط
System	frappe: نظام
Tree	frappe: شجرة
Unread	frappe: غير مقروء
